Job Title,Company,Employer Email,Salary,Avg Salary,Lower Salary Range,Upper Salary Range,Job Highlights,Job Description,Career Level,Qualification,Years of Experience,Job Type,Company Website,Job Link,Job Functions,Industry,Date Posted,jobtick_avgsalary,jobtick_SQL,jobtick_Excel,jobtick_dashboard,jobtick_Python,jobtick_engineerjobs,jobtick_analystjobs,jobtick_scientistjobs
"Data Engineer (SQL, Python, ETL, up to $32K, Listed Company)",CL Technical Services Limited.,NULL,Not Specified,#VALUE!,NULL,NULL,"['International Working Environment', 'Convenient location', 'Work Life Balance']","['Job', ' details', ':', 'Build and maintain ETL pipelines from variety of sources', 'Perform data collection, transformation, quality and integration solutions technically', 'Develop data scraping and implement automation testing for platform', 'Work closely and build strong relationship with oversea programmers to provide high quality of deliverables', 'Assist in building data warehouse and machine learning model', 'Assist in supporting the software development lifecycle', 'Recognize and adopt best practices in reporting and analysis', 'Requirements', ':', 'Degree in ', 'Computer Science or equivalent', '3  5 years experience in Business Intelligence (BI) or Data Engineer', 'Hands on experience in writing ETL solution', 'Strong in SQL & Python programming', 'Knowledge in using JavaScript / PHP / Java is a plus', 'Good communication and interpersonal skills', 'Proficient in both written and spoken English and Chinese', 'For more job opportunity, please visit our website: ', 'www.clts.com', 'The personal information is collected strictly for recruitment purpose only.']",Entry,Not Specified,-1,Full Time,http://www.clts.com,/hk/en/job/data-engineer-sql-python-etl-up-to-%2432k-listed-company-100003008827597,"Information Technology (IT), Application Specialist - Software, Software Development, Technical / Functional Consulting",Information Technology,10-20-2021,NULL,1,NULL,NULL,1,1,NULL,NULL
Data Scientist,Neo Derm (HK) Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Hadoop, Spark, Lucene/Elastic Search, MongoDB', 'Bachelor in CS/Statistics/Operations Research/DS', 'Proficient in Python and SQL']","['About us:', 'With the trend towards\xa0Industrial Revolution 4.0, our IT department, the strategic technology enabler with more than 70 staff,\xa0has established a comprehensive personalized customer-centric platform (gratus) and operation management system, i.e. Customer Behavioral Tracking System, Recommendation Engine, Business Intelligence Dashboard and Campaign Monitoring System, to support the fast-changing business transformation needs across the Group.', 'To support the Groups continuous development, we are looking for high caliber talent who is enthusiastic in system development to join our strong & fast-growing IT team.', 'Responsibilities', ':', '\xa0Analyze structured and unstructured data, visualize findings, discover actionable insights and put machine learning pipelines into production', 'Apply data mining and statistical modelling techniques to find out behavioral patterns and interconnections in Big Data', 'Contribute to company data-driven culture by supporting business strategies with data and communicating results to business units', 'Conduct research on state-of-the-art technologies to solve business problems', 'Apply machine learning algorithms and build predictive models to identify business opportunities such as online advertising and propensity modelling', 'Collaborate with IT team to implement real-time Big Data solutions into marketing & operations management platforms and monitor performance', 'Requirements:', 'Bachelors degree or above in Computer Science, Statistics, Operations Research or Data Science related disciplines', 'Proficient in Python and SQL', 'Excellent understanding of machine learning and deep learning techniques and algorithms', 'Solid working experience in artificial intelligence projects', 'With can-do attitude, good business acumen and presentation skills', 'Experience in working in fast-paced, dynamic and agile development lifecycle', 'Preferably with background in ecommerce or retail', 'Experience in Big Data technologies, such as Hadoop, Spark, Lucene/Elastic Search, MongoDB or Neo4j is desirable', 'Experience in using Tableau, Power BI or related analytics visualization tools would be an advantage']",Entry,Degree,-1,"Full Time, Permanent",http://career.neoderm.com.hk,/hk/en/job/data-scientist-100003008820210,"Information Technology (IT), Data Scientist",Health & Beauty Care,10-18-2021,NULL,1,1,1,1,NULL,NULL,1
Data Modeler - Bank (60-70k),Walters People (HK),NULL,Not Specified,#VALUE!,NULL,NULL,"['RDBMS, Operational Data Store (ODS)', 'Data Marts, Data Lakes (SQL/noSQL)', 'Hands-on Modeling Experience']","['The data modeler designs, implements, and documents data architecture and data modeling solutions, which include the use of relational, dimensional, and NoSQL databases. These solutions support enterprise information management, business intelligence, machine learning, data science, and other business interests.', 'Be responsible for the development of the conceptual, logical, and physical data models, the implementation of RDBMS, operational data store (ODS), data marts, and data lakes on target platforms (SQL/NoSQL).', 'Oversee and govern the expansion of existing data architecture and the optimization of data query performance via best practices. The candidate must be able to work independently and collaboratively.', 'Responsibility', 'Implement business and IT data requirements through new data strategies and designs across all data platforms (relational, dimensional, and NoSQL) and data tools (reporting, visualization, analytics, and machine learning).', 'Work with business and application/solution teams to implement data strategies, build data flows, and develop conceptual/logical/physical data models', 'Define and govern data modeling and design standards, tools, best practices, and related development for enterprise data models.', 'Identify the architecture, infrastructure, and interfaces to data sources, tools supporting automated data loads, security concerns, analytic models, and data visualization.', 'Hands-on modeling, design, configuration, installation, performance tuning, and sandbox POC.', 'Work proactively and independently to address project requirements and articulate issues/challenges to reduce project delivery risks.', 'Requirement', 'Strong communication skill, good at oral English', '3+ years of hands-on relational, dimensional, and/or analytic experience (using RDBMS, dimensional, NoSQL data platform technologies, and ETL and data ingestion protocols).', 'Experience with data warehouse, data lake, and enterprise big data platforms in multi-data-center contexts required.', 'Good knowledge of metadata management, data modeling, and related tools (Erwin or Visual Paradigm or others) required.', 'Experience in team management, communication, and presentation.']",Senior,Degree,-1,"Full Time, Permanent",http://www.walterspeople.com.hk,/hk/en/job/data-modeler-bank-60-70k-100003008827178,"Information Technology (IT), Application Specialist - Software, IT Project Management / Team Lead, Data Scientist",Human Resources Management/Consultancy,10-19-2021,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL
Data Centre Operator,PCCW Solutions Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Day-to-day support in 7x24 Data Center', 'Ensure our Data Center is operating up to standard', 'Shift duty']","['The Job:', 'Responsible for day-to-day support in our 7x24 Data Center', 'Coordinate with both internal technical support team and external vendors for scheduled and non-scheduled activities', 'Ensure our Data Center is operating up to standard by keeping and summarizing the record of the environmental data', 'Perform shift duty', 'The Person:', '\xa0', 'Higher Diploma in Computer Science, Information Technology or related disciplines', 'Experience in IT related field is preferred', 'Initiatives to learn with positive attitude and responsible', 'A good team player with analytical & problem-solving skills, self-motivation and good interpersonal skills', 'Good command of spoken and written English and Chinese']",Entry,Non-Degree Tertiary,-1,Full Time,http://www.pccwsolutions.com,/hk/en/job/data-centre-operator-100003008833396,"Information Technology (IT), Support",Information Technology,10-21-2021,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Data Engineer,Leading Edge Group Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Year of IT Experience: 1 year or above', 'Fields of Study : Computer Engineering related', 'Knowledge, skill and experiences on Python']","['Job Description', 'To implement big data, data management and machine learning for business analytics solution,\xa0capable of learning sophisticated system design created by system architect', 'Responsible for system design, system development and data project implementations', 'To work with a team on data solution development from start to closure', 'To monitor project process and technical matters, and to ensure the successful project deliverable on time', 'Cooperate with teammates to meet working schedule, requirements and resolve all changes/issues/risk that may arise', 'Skills & Requirements', 'Year of IT Experience: 2 year or above\xa0', 'Minimum Education Level :\xa0', 'Bachelor or lower academic level but solid related working experience', 'Fields of Study : Computer Science, Computer Engineering, Information Engineering, or Information Technology', 'Knowledge, skill and experiences with troubleshooting skills in SQL & Python language, or Machine Learning, or Deep Learning is an advantage.\xa0', 'Knowledge, skill and experiences on cloud solution is an advantage', 'Knowledge and experiences on at least one the following skill set:\xa0', 'SQL, PL/SQL, Python,\xa0Scala, SSIS,\xa0SSRS,\xa0SSAS, Tableau, Power\xa0BI, Microsoft Synapse, Databricks', 'Knowledge, skill and experiences on blob storage, or traditional database (Oracle / Microsoft / IBM) is an advantage', 'Knowledge, skill and experiences on Python (UI, or API, or Machine Learning Model)', 'Strong communication skill', 'Can work independently and under pressure', 'Responsible, well organized, willing to learn, hardworking and a good team player', 'Interested parties, please apply via Jobsdb or direct email.', 'All personal information is used for recruitment purpose only.']",Middle,Degree,-1,"Full Time, Permanent",Not Specified,/hk/en/job/data-engineer-100003008825712,"Information Technology (IT), Application Specialist - Software, DBA, Software Development",Information Technology,10-19-2021,NULL,1,NULL,1,1,1,NULL,NULL
Data Scientist,Cathay Pacific Airways Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['5 years work experience in data science', 'Expert in statistical analysis', 'Travel Benefits, 5-day work, Medical Benefits']","['Reports to:', '\xa0Customer and Retail Analytics Manager', 'Department:', ' Digital (DGT)', 'This position is responsible for', 'Generate actionable analytics and insights and extend it as an integral component of major business change and investment programmes, especially focused to Customer life cycle management, campaign optimization and personalization, and other CRM related activities', 'Collaborate with stakeholders to deliver data science solutions to facilitate business transformation.', 'Taking the lead in individual use cases to ensure business needs are met and value delivered.', 'Bring a combination of mathematical rigor and innovative algorithm design to extract relevant insights from data', 'Key responsibility', 'Provide advanced analytics support primarily for customer life cycle management, campaign optimization and personalization, \xa0and other CRM related activities', 'Translate unstructured business questions into quantitative problems', 'Advise on appropriate analytical models based on available data, technology and platform', 'Prototyping advance analytics and machine learning solutions and optimise iteratively for business partners', 'Work with key stakeholders and partners to implement solution', 'Make intelligent approximations to the model if required to make it scalable and operatable', 'Partner with IT to put machine learning models into production', 'Evaluate machine learning algorithm and models, and provide technical recommendations to business units for decision making', 'Drive knowledge sharing and improvement in analytics skills across Digital Streams and relevant business units', 'Monitor data science products performance to ensure its business values are delivered as per designed, and initiate necessary corrective actions', 'Requirements', 'Preferably master degree (or equivalent education qualifications) in Computer Science, Econometrics, Mathematics, Operation Research, Statistics, Behavioural Science or related disciplines Minimal 5 years work experience in data science, with proven track record of delivering data science solutions to drive\xa0 business impact. Experience in Python & Spark is a must', 'Experience in ASW cloud stack is highly preferred', 'Experience in digital and multichannel marketing is highly preferred', 'Advanced analytical skills, experience in recommending appropriate algorithms and methodologies for problem-solving and decision making, leveraging both logic and creativity', 'Able to keep track of latest analytics technology and concepts, trends of platform & tools', 'Strong in managing time and multiple projects with a continuous improvement mind set', 'Experience in visualisation and wrangling tools such as Qliksense, PowerBI, and Alteryx an advantage', 'Sound communication skills to work with business partners of different levels and background. Be able to articulate ideas verbally and in written forms', 'Application deadline: 29 October 2021', 'Personal & Application Information', 'Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.', 'Please note that with effect from 1 December 2021, all employees must be vaccinated in order to access Cathay City and all other Cathay Group Company premises in Hong Kong. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.']",Entry,Not Specified,-1,"Full Time, Permanent",http://www.cathaypacific.com/careers,/hk/en/job/data-scientist-100003008816383,"Transportation & Logistics, Aviation Services, Professional Services, Business Analysis / Data Analysis, Information Technology (IT), Data Scientist",Freight Forwarding/Delivery/Shipping,10-15-2021,NULL,NULL,NULL,1,1,NULL,NULL,1
Solution Analyst - Business Intelligence Competency Centre (BICC),Cathay Pacific Airways Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Minimum 6 years of related IT experience', 'Business Intelligence Competency Centre', 'Travel Benefits, 5-day work, Medical Benefits']","['Reports to:', '\xa0Solution Lead / Senior Solution Lead', 'Department:', ' Information Technology (IMT)', 'Role Introduction', 'S', 'olution Analyst is responsible for building reliable, secure and highly-scalable IT systems for complex business problems by understanding and translating user needs into business and technical requirements and collaborating with crucial stakeholders to design, develop, test, integrate and implement these solutions', '\xa0', 'Key Responsibilities', 'Collaborate with business users, internal technology teams and external vendors to identify fit-for-purpose, reliable, secure and highly-scalable IT solutions to complex business problems', 'Analyze and translate user needs into business and technical requirements, design, develop and ensure smooth implementation through collaboration with business and IT stakeholders', 'Participate in Scrum activities as Subject Matter Expert to identify and understand business processes, available technology solutions and their configuration and management to provide seamless, integrated solutions', 'Contribute towards complete software development lifecycle of system implementation projects, including requirements elicitation and prioritization, systems design and development, test documentation and execution, implementation and operational support', 'Work independently during programme and project execution to ensure successful, on-time delivery by anticipating dependencies and impediments, prioritizing multiple stakeholders and tasks, making trade-offs between business needs and constraints and managing work time efficiently', 'Facilitate collaboration with cross-functional stakeholders through clear communication and documentation', 'Participate in change management efforts, including stakeholder process analysis, workshop facilitation, mass communications, training and presentations', 'Plan, prioritize and deliver systems enhancements and bug fixes', 'Provide Level 2 and 3 support, troubleshoot production systems and services', 'Develop proactive monitoring and diagnosis tools to ensure solution SLAs are maintained', 'Participate in vendor solution selections, make recommendations that align with business needs and companys technology roadmap, standards and practices', 'Support continuous improvement of standard corporate IT Practices', 'Keep abreast of latest trends in technology, industry and corresponding business domain', 'Collaborate with other IT domains to drive innovation', 'Requirements', 'Minimum 6 years of related IT experience across entire software development lifecycle for delivery of complex software solutions', 'Bachelors (or equivalent education qualifications) in Computer Science, Computer Engineering, or related disciplines', 'Solid hands-on experience with systems integration using real-time message-based middleware and webservices', 'Strong knowledge in security and compliance practices and technologies', 'Advanced expertise in software development methodologies  Design Thinking, Agile and DevOps is beneficial', 'Strong understanding of current technology concepts, trends and capabilities', 'Knowledge of at least one of the data analytics and visualisation tools (such as Alteryx, QlikSense, Power BI)', 'Essential to have strong understanding of Data Warehouse and Data Lake concepts and competence in SQL', 'Essential to have understanding and experience with dimensional modelling concepts (star schema, slowly changing dimensions etc.)', 'Well-developed analytical, problem-solving, and decision-making skills, leveraging both logic and creativity', 'Strong troubleshooting skills; ability to identify patterns and generate ideas', 'Well organized, thrive in a sense-of-urgency environment, leverage best practices, and most importantly, innovate through any problem with a can-do attitude', 'Experience in collaborating with multiple cross-functional and geographically dispersed teams', 'Ability to interact professionally with diverse groups of stakeholders', 'Excellent interpersonal and communication skills, strong verbal and written presentation skills', 'Airline knowledge is beneficial', 'Candidate with less experience will be considered as Solution Specialist.', 'Application Deadline: 05 November 2021', 'Personal & Application Information', 'Cathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer.', 'Please note that with effect from 1 December 2021, all employees must be vaccinated in order to access Cathay City and all other Cathay Group Company premises in Hong Kong. Consideration will be given to those who are unable to get vaccinated for valid medical reasons.']",Entry,Not Specified,-1,"Full Time, Permanent",http://www.cathaypacific.com/careers,/hk/en/job/solution-analyst-business-intelligence-competency-centre-bicc-100003008835136,"Information Technology (IT), Support, Software Development, Others",Freight Forwarding/Delivery/Shipping,10-22-2021,NULL,1,1,1,NULL,NULL,1,NULL
BI Architect (PowerBI) - Up to 100K,Walters People (HK),NULL,Not Specified,#VALUE!,NULL,NULL,"['IT Architect and Business Intelligence', 'Data mining, Managerial Level', 'Microsoft Tools (PowerBI, Azure)']","['A Global Financial Services Company is now hiring a high Calibre with strong Business Intelligence background (PowerBI) to join their Group Office.', 'Objective', 'Explore, analyze and design IT architecture on business intelligence (BI) tools, e.g. Microsoft Power BI, MicroStrategy and other investment applications to meet business requirements', 'Responsibility', 'Serve as an application subject matter expert in BI tools to work with system vendor and lead internal IT teams to:', 'Analyze business requirements', 'Design system interfaces to capture additional data into datamarts', 'Lead the build of reports / dashboards / interfaces in a controlled, measurable and testable manner', 'Develop test plan and execute tests', 'Support other system integration testing, capacity/concurrence testing and regression testing as required', 'Compile training material and conduct knowledge transfer to both users and IT colleagues', 'Support user acceptance test and resolve any issue', 'Ensure successful deployment of new reports within committed timeline', 'Assist in the acquisition, installation, testing and deployment of any additional IT infrastructure required', 'Complete periodic reporting to the project workstreams', 'Perform other responsibilities and duties assigned by supervisor as required.', 'Requirement', 'Education - University graduate in computer science or equivalent', 'Experience - Minimum 7 years related experience, previous line-managerial responsibilities are a plus', 'Certifications/licenses - PRINCE2, ITIL, CISA, or equivalent', 'Team player, good communication and problem solving skills', 'Able to work under pressure, positive working attitude, willing to learn and work independently', 'Ability to think over the long-term, applying a strategic focus in completing large-scale change projects', 'Special skills', 'Hands-on experience in Microsoft Power BI, MicroStrategy and Eagle PACE/STAR datamarts', 'In-depth business and application knowledge of IT and operations in the investment management industry', 'Ability to build, translate and deliver .csv and XML files, as well as the wider delivery mechanism and overall operating model', 'Well-versed in System Development Life Cycle (SDLC)', 'Experience in Bloomberg AIM / SAP FAM is a plus', 'Knowledge in Azure cloud services, Java, .Net, Visual Basic is a plus']",Senior,Degree,-1,"Full Time, Permanent",http://www.walterspeople.com.hk,/hk/en/job/bi-architect-powerbi-up-to-100k-100003008827169,"Information Technology (IT), IT Management, Software Development, Testing / QA",Human Resources Management/Consultancy,10-19-2021,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
"Project Manager (BI, Data Architecture, over $60K)",CL Technical Services Limited.,NULL,Not Specified,#VALUE!,NULL,NULL,"['Experience in managing government projects', 'BI projects', '5 Days Work with medical']","['Job', ' details', ':', 'Work with external suppliers, system integrators and internal IT colleagues to perform technical project activities', 'Perform software/hardware installation, management and troubleshooting', 'Identify and acquire data from appropriate data sources for analytics', 'Develop, implement and maintain databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality', 'Perform ad hoc duties', 'Requirements', ':', 'Degree holder in Computer Science / Information Technology or related discipline', 'At least 10 years related experience in Data analytical and business intelligence (BI)', 'At least 4 years experience as data analyst and technical specialist', '3 years experience with reporting packages, database and programming by using Power BI, including Data Analysis Expressions (DAX) and Microsoft Power Automate (PA)', '2 years experience in Data Architecture and experience in managing government projects', 'Strong knowledge in applications system development and implementation', 'Hands on project management experience on technical upgrades and installation', 'Good presentation skills and vendor management skills', 'Good command of spoken and written Chinese and English', 'For more job opportunity, please visit our website: ', 'www.clts.com', 'The personal information is collected strictly for recruitment purpose only.']",Senior,Not Specified,-1,Full Time,http://www.clts.com,/hk/en/job/project-manager-bi-data-architecture-over-%2460k-100003008820447,"Information Technology (IT), Application Specialist - Software, IT Management, Technical / Functional Consulting",Information Technology,10-18-2021,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL
Business Analyst,Easy View Technology International Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['FinTech, Structured Products', 'Perform business process analysis', 'Friendly and energetic working environment']","['Job Description', 'Actively work with Business on Structural Product Quotation Platform to design and propose solution', 'Take lead in gathering business requirements and agree with stakeholders on the final solution', 'Work with IT development team to translate business requirements and proposed solution into development plan', 'Plan, coordinate, and conduct all project activities, IT integration and user acceptance test, users training, production deployment, problem diagnosis and reporting', 'Open and flat culture', 'Friendly and collaborative work environment', 'Medical insurances, performance bonuses, lunch allowance', 'Requirements', 'Bachelors degree or above in Information Technology or related Business disciplines', '3+ years of experience as Business Analyst in Financial platform', 'Relevant business/technical analysis experience and good understanding in large-scale financial technology implementation in Structural Products and related experience is a good advantage', 'Able to work under pressure, exhibit a high level of integrity, a strong sense of accountability, excellent communication skills and a good team player', 'Experience in project management using Agile methodologies', 'Excellent command in spoken and written Mandarin, Cantonese, and English']",Entry,Not Specified,-1,Full Time,Not Specified,/hk/en/job/business-analyst-100003008834646,"Information Technology (IT), Software Development",Information Technology,10-22-2021,NULL,NULL,1,NULL,NULL,NULL,1,NULL
Research Intern / Researcher,TQM Consultants Co Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Computer Science, A.I and Deep learning', 'Research Intern / Researcher', 'Proficiency in C / C++ / knowledge in Shell/Python']","['We now have a vacancy for the Research Talent Hub scheme and a 6 months employment will be offered and\xa0a\xa0permanent contract would be offered after this period upon satisfactory performance.', 'Your Key Responsibilities will include', 'Research and develop computer vision & Deep Learning algorithms, e.g. object detection, object tracking, image classification, image segmentation, reinforcement learning, and image processing', 'Responsible for\xa0 optimization and integration of computer vision & deep learning algorithms with industry application', 'Responsible for leading the innovation of algorithms in industry and academy\xa0', '\xa0What we will be looking for in you', 'Graduate with a first-degree or higher degree in Computer Science, Electronic Engineering, Information Engineering or relevant disciplines, including non-local students', 'Proficiency in machine learning (especially deep learning) & computer vision', 'Excellent analytical and problem-solving skills, willing to take up challenges', 'Proficiency in C / C++, knowledge in Shell/Python/Matlab programming', 'Team player and fast learner']",Entry,Degree,-1,"Full Time, Contract, Internship",http://www.tqm.com.hk,/hk/en/job/research-intern-researcher-100003008834367,"Information Technology (IT), Software Development, Sciences, Lab, R&D, Research & Development (R&D), Data Scientist",Management Consultancy/Service,10-22-2021,NULL,NULL,1,NULL,1,NULL,NULL,NULL
Part-time Data Analyst,PVH Far East Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Database, Digitalization', 'Excel, Power Query, Power Pivot, VBA, Python', 'Part-time Analyst']","['RESPONSIBILITIES', 'Support data transparency', 'Respond to business need with data', 'Identify improvement area with data', 'Support digitalization  study data and process for building database', 'Data retrieval, data processing, data analysis and reporting', 'Data maintenance', 'Develop regular report template', 'REQUIREMENTS', 'Experience in reporting', 'Experience in data analysis', 'Experience in basic programming', 'Proficiency in MS Excel (including Power Query & Power Pivot)', 'Proficiency in VBA programming', 'Proficiency in Python programming is a plus', 'Good command of written and spoken English, Cantonese and Mandarin', 'Interested parties please send your full resume, current package, salary expectation and date of availability to us by clicking Apply Now.', '(Applicants not contacted within six weeks should consider their application unsuccessful. Personal data provided by applicants will be treated confidence and used solely for recruitment purpose only.)']",Entry,Non-Degree Tertiary,-1,"Part Time, Temporary, Contract",Not Specified,/hk/en/job/part-time-data-analyst-100003008825504,"Information Technology (IT), Product Management / Business Analyst, Merchandising & Purchasing, Procurement / Purchasing / Sourcing, Data Scientist",Clothing/Garment/Textile,10-19-2021,NULL,NULL,1,NULL,1,NULL,1,NULL
AI Algorithm Engineer,Smartmore Corporation Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Start Up', 'Experience in AI', 'Friendly Environment']","['Based at: R&D Team,\xa0Shenzhen, Hong Kong or Shanghai', 'Position Summary:', 'Job Responsibilities:', 'Responsible for the research and development of image/video related algorithms, including the application of deep learning and common machine learning methods in computer vision;', 'Responsible for computer vision-related technology research and development, including but not limited to: object detection, classification, human (living) recognition, vehicle and personnel detection, identification and tracking, page analysis and automatic synthesis, OCR, defect detection, ultra-clear video;', 'Responsible for developing deep learning, machine learning and other cutting-edge technologies in', 'computer vision, and providing solutions with actual application scenarios.', 'Job Requirements:', 'Degree requirements: PhD, Master or outstanding Undergraduates;', 'Major requirements: including but not limited to computer science, information engineering, pattern recognition, artificial intelligence, automation, software engineering, electronic engineering, statistics, applied mathematics, physics/quantum computing, signal and information processing, etc.;', 'Skill requirements:', 'Familiar with basic algorithms and applications related to computer vision and image processing;', 'Familiar with at least one deep learning framework such as TensorFlow and PyTorch;', 'Strong engineering realization ability, proficient in C/C++, Python, Shell and other programming languages;', 'Master the basic algorithms of computer vision and image processing, and have in-depth research in one or more of the following related directions: mobile image technology application, image content search, face detection and recognition, image classification and annotation, OCR, Augmented reality, image quality evaluation, image processing, etc.', 'Others:', 'Those who have published articles as the first author in CVPR, ICCV, ECCV, ICML, NeurIPS and other computer vision, machine learning, deep learning academic conferences or journals, and have rich project experience are preferred. 2. Creative thinking, imaginative, ideal and mission to promote artificial intelligence or machine vision.']",Entry,Degree,-1,"Full Time, Permanent",Not Specified,/hk/en/job/ai-algorithm-engineer-100003008837729,"Information Technology (IT), Software Development, Others",Information Technology,10-22-2021,NULL,NULL,NULL,NULL,1,1,NULL,NULL
Data Scientist / Computational Scientist,Clustertech Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Solving practical problems by computational skills', 'CS, Engineering, Statistics or related disciplines', '5 days work week, 15 days AL']","['Responsibilities:', 'Solve practical problems by using computational skills and cross-category approaches of data mining/statistics/artificial intelligence/mathematical optimization;', 'Utilize user characteristics and behavior data, financial data to do data mining and model building analysis;', 'Participate in client research to collect users need, prepare reports of clients behavior analysis;', 'Need to travel to the mainland on a need basis.', 'Requirements:', 'Major in Computer Science, Engineering, Statistics or related disciplines;', '1-2 years hands on relevant working experience;', 'Good at analytical thinking with solid mathematics knowledge;', 'Good master of foundation theories and approaches of data mining or statistics field;', 'Proficiency in Java, Python, R or at least one programming language;', 'Knowledge of data structure and algorithm;', 'Experience in processing mass data, model building, and product improvement by mathematical approach is preferable;', 'Knowledge of MYSQL,ORACLE database operation with excellent tuning skills is an advantage;', 'Knowledge of machine learning or statistics field with experience in data mining projects is preferred;', 'Team spirit, proactive in idea sharing with good communication skills (Chinese and English);', 'Preference will be given to candidates with high integrity, team spirit, strong sense of responsibility, and passion for the application of modern computing technology in China.', 'We offer competitive remuneration package including 5-day work and 15-day annual leave to the right candidate with excellent career advancement.', 'All applications will be treated in strict confidence. Personal information collected will be used solely for the purpose of recruitment. If you are not invited for an interview within 4 weeks, your application will be filed for a further 2 years and be considered for any other appropriate positions within the company or related companies.', 'For more information about\xa0ClusterTech, please visit our web site at\xa0', 'http://www.clustertech.com', '.']",Entry,Degree,-1,"Full Time, Permanent",http://www.clustertech.com,/hk/en/job/data-scientist-computational-scientist-100003008814871,"Information Technology (IT), Data Scientist",Information Technology,10-15-2021,NULL,1,1,NULL,1,NULL,NULL,1
Business Analyst,Talent Fields Hong Kong Company Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Business Analyst', '3-5 years relevant exp. in business analysis', 'Degree in Computer Science/ Information Technology']","['Reporting to IT Manager, you will\xa0work closely with business users to provide day-to-day applications support, capturing requirements including process improvement opportunities, needs for new or enhanced capabilities, training, and reporting needs.', 'Job Responsibilities', 'Partner with the business units to develop an understanding of their business processes, assess end user needs and evaluate proposed IT systems related projects', 'Provide ongoing application system support, make decisions that best resolve product related issues and appropriately escalate issues that require IT and/or business unit management involvement', 'Document high level and detailed accounting functional requirements, functional designs, including business process flow charts, current state, future state, gaps, training materials, and end user documentation', 'Create test plans for implemented software and provide training on software changes when appropriate', 'Test the accuracy and completeness of all enhancements and customization of company applications', 'Be single point of contact for business users', 'Job Requirements', 'Degree in Computer Science, Information Technology, Accounting, Business Operations or Finance', '3-5 years experience in business analysis, especially in a garment industry is an advantage. With experience in retail, supply chain, order management or similar processes is also a plus', 'Experience in developing documents for business requirements and process workflow diagrams', 'Strong business aptitude and the ability to learn new processes and systems quickly', 'Must be able to manage a team of internal and external resources', 'Excellent organizational skills with strong analytical and quantitative background', 'Must be self-motivated and directed, can think critically, have effective presentation and negotiation skills to manage a broad range of stakeholders', 'Ability to balance end-user support with larger strategic project support', 'Excellent interpersonal, written and verbal communication skills to build and maintenance positive relationships across the organization', 'Familiarity with Apparel business and International Trade will be an advantage']",Entry,Not Specified,-1,"Full Time, Permanent",Not Specified,/hk/en/job/business-analyst-100003008838415,"Information Technology (IT), IT Project Management / Team Lead",Human Resources Management/Consultancy,10-22-2021,NULL,NULL,1,NULL,NULL,NULL,1,NULL
Business Intelligence Analyst,Zuellig Pharma Limited,NULL,Not Specified,#VALUE!,NULL,NULL,"['Building charts, reports and analytics', 'On-going engagement', 'Bachelor degree in Information Technology']","['Job Responsibilities:', 'Building charts, reports and analytics to provide data dashboards to external and internal clients', 'On-going engagement / interaction with external clients in support of Data Analytics projects', 'Job Requirements:', 'Bachelor degree in Information Technology or any related academic disciplines', '3 to 5 years of experience in similar roles', 'Relevant working experience on one of the following software:', '\xa0o Tableau, R, Python, MSSQL, QlikView, Spotfire', 'Business intelligence, analytics or management consulting background', 'Strong communication skills to all stakeholders at all levels is a must', 'Fluent in spoken and written English and Chinese', 'Interested candidates, please click Apply Now.']",Entry,Not Specified,-1,Full Time,http://www.zuelligpharma.com,/hk/en/job/business-intelligence-analyst-100003008831298,"Information Technology (IT), Others, Others, Others",Medical/Pharmaceutical,10-21-2021,NULL,1,NULL,1,1,NULL,1,NULL
